IIT2016021,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016022,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016023,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016024,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016025,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016026,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016027,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016028,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016029,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
IIT2016030,Yashwardhan,Gupta,19-01-1998,887456123,yashcoderiiita@gmail.com,BH4-1124
